order,eval_task,budget,router,random,prototype,semantic,router_minus_best_heuristic
paper,tcga_lung,256,0.5116333333333333,0.7673333333333333,0.7638,0.8098000000000001,-0.2981666666666668
paper,tcga_lung,128,0.4528333333333333,0.7708333333333333,0.7182,0.7934333333333333,-0.3406
paper,tcga_lung,64,0.3967,0.7829,0.7054,0.8133,-0.4166
paper,tcga_lung,32,0.3526666666666667,0.7731333333333333,0.6367666666666667,0.8160666666666666,-0.4633999999999999
reverse,tcga_esca,256,0.5111,0.8444666666666667,0.8222,0.7777666666666667,-0.3333666666666667
reverse,tcga_esca,128,0.4,0.6889,0.8,0.8,-0.4
reverse,tcga_esca,64,0.33333333333333337,0.8222333333333334,0.7777666666666666,0.7778,-0.4889
reverse,tcga_esca,32,0.3333333333333333,0.6,0.6889,0.7555666666666667,-0.4222333333333334
