order,eval_task,budget,router,random,prototype,semantic,router_minus_best_heuristic
paper,tcga_esca,256,0.9555333333333333,0.9555333333333333,0.8444333333333334,0.8889,0.0
paper,tcga_esca,128,0.9555333333333333,0.8888666666666667,0.7555666666666667,0.8222333333333334,0.06666666666666665
paper,tcga_esca,64,0.9555333333333333,0.8888666666666667,0.7111000000000001,0.8666666666666667,0.06666666666666665
paper,tcga_esca,32,0.9333,0.7555333333333333,0.6666666666666666,0.8666333333333334,0.06666666666666665
reverse,tcga_lung,256,0.9041,0.9080333333333334,0.8671,0.9014,-0.003933333333333344
reverse,tcga_lung,128,0.9146333333333333,0.8846,0.8737333333333334,0.9041333333333333,0.010499999999999954
reverse,tcga_lung,64,0.9216333333333333,0.8815000000000001,0.8312333333333333,0.8971,0.024533333333333296
reverse,tcga_lung,32,0.9177666666666666,0.8141,0.8137,0.8912666666666667,0.026499999999999968
